#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 430000      7.88e-02      1.16e-03      8.07e-03    7.5e-05
 432000      1.14e-01      1.29e-03      1.22e-02    7.5e-05
 434000      7.99e-02      2.69e-04      9.11e-03    7.5e-05
 436000      9.93e-02      1.29e-04      1.14e-02    7.5e-05
 438000      7.62e-02      2.64e-04      8.69e-03    7.5e-05
 440000      1.44e-01      7.31e-04      1.68e-02    7.0e-05
 442000      6.83e-02      3.40e-04      8.00e-03    7.0e-05
 444000      9.09e-02      1.25e-03      1.00e-02    7.0e-05
 446000      8.60e-02      6.95e-04      9.95e-03    7.0e-05
 448000      7.25e-02      7.82e-04      8.10e-03    7.0e-05
 450000      6.85e-02      4.44e-04      7.96e-03    7.0e-05
 452000      8.27e-02      4.53e-04      1.00e-02    6.6e-05
 454000      8.03e-02      1.93e-04      9.81e-03    6.6e-05
 456000      6.71e-02      1.37e-04      8.20e-03    6.6e-05
 458000      7.47e-02      5.16e-04      9.00e-03    6.6e-05
 460000      8.36e-02      9.14e-04      9.79e-03    6.6e-05
 462000      8.26e-02      7.38e-04      1.00e-02    6.2e-05
 464000      8.32e-02      7.47e-04      1.02e-02    6.2e-05
 466000      7.46e-02      4.90e-04      9.25e-03    6.2e-05
 468000      6.51e-02      9.98e-05      8.23e-03    6.2e-05
 470000      7.42e-02      1.18e-03      8.18e-03    6.2e-05
 472000      6.48e-02      5.41e-04      7.92e-03    6.2e-05
 474000      7.84e-02      4.97e-04      1.01e-02    5.8e-05
 476000      7.88e-02      1.63e-04      1.03e-02    5.8e-05
 478000      1.09e-01      4.82e-04      1.42e-02    5.8e-05
 480000      6.55e-02      5.79e-04      8.32e-03    5.8e-05
 482000      6.70e-02      8.74e-05      8.75e-03    5.8e-05
 484000      6.17e-02      2.84e-04      8.24e-03    5.4e-05
 486000      7.63e-02      5.81e-04      1.00e-02    5.4e-05
 488000      7.27e-02      2.53e-04      9.77e-03    5.4e-05
 490000      6.17e-02      1.30e-04      8.31e-03    5.4e-05
 492000      6.42e-02      4.90e-04      8.42e-03    5.4e-05
 494000      6.26e-02      2.39e-04      8.40e-03    5.4e-05
 496000      5.96e-02      4.97e-04      8.03e-03    5.0e-05
 498000      7.21e-02      3.47e-05      1.01e-02    5.0e-05
 500000      5.88e-02      5.34e-05      8.20e-03    5.0e-05
 502000      6.02e-02      6.38e-04      7.93e-03    5.0e-05
 504000      6.53e-02      9.75e-04      8.34e-03    5.0e-05
 506000      6.07e-02      9.83e-04      7.87e-03    4.7e-05
 508000      1.20e-01      5.40e-04      1.72e-02    4.7e-05
 510000      6.13e-02      8.48e-05      8.84e-03    4.7e-05
 512000      5.49e-02      2.49e-04      7.85e-03    4.7e-05
 514000      5.83e-02      3.58e-04      8.28e-03    4.7e-05
 516000      6.21e-02      9.95e-05      8.93e-03    4.7e-05
 518000      6.26e-02      6.27e-04      8.86e-03    4.4e-05
 520000      5.59e-02      5.79e-04      7.88e-03    4.4e-05
 522000      5.76e-02      1.45e-04      8.55e-03    4.4e-05
 524000      8.64e-02      1.46e-04      1.29e-02    4.4e-05
 526000      6.61e-02      8.33e-04      9.05e-03    4.4e-05
 528000      6.76e-02      5.63e-04      1.01e-02    4.1e-05
 530000      6.75e-02      4.59e-04      1.02e-02    4.1e-05
 532000      5.42e-02      2.26e-04      8.29e-03    4.1e-05
 534000      6.48e-02      7.88e-05      9.96e-03    4.1e-05
 536000      5.34e-02      5.20e-04      7.83e-03    4.1e-05
 538000      6.46e-02      2.06e-04      9.90e-03    4.1e-05
 540000      5.66e-02      7.77e-04      8.13e-03    3.9e-05
 542000      7.75e-02      9.65e-04      1.13e-02    3.9e-05
 544000      5.14e-02      1.38e-04      8.14e-03    3.9e-05
 546000      6.32e-02      2.36e-04      9.99e-03    3.9e-05
 548000      5.41e-02      5.84e-04      8.09e-03    3.9e-05
 550000      4.88e-02      1.37e-04      7.98e-03    3.6e-05
 552000      6.17e-02      7.48e-04      9.37e-03    3.6e-05
 554000      6.41e-02      7.34e-04      1.00e-02    3.6e-05
 556000      6.38e-02      7.28e-04      9.96e-03    3.6e-05
 558000      6.77e-02      9.70e-04      1.02e-02    3.6e-05
 560000      5.09e-02      2.05e-04      8.28e-03    3.6e-05
 562000      5.92e-02      9.00e-05      1.00e-02    3.4e-05
 564000      9.30e-02      9.05e-04      1.50e-02    3.4e-05
 566000      9.97e-02      8.16e-04      1.63e-02    3.4e-05
 568000      4.85e-02      7.87e-05      8.21e-03    3.4e-05
 570000      5.89e-02      2.10e-04      9.93e-03    3.4e-05
 572000      4.76e-02      3.33e-04      8.17e-03    3.2e-05
 574000      5.51e-02      9.33e-04      8.17e-03    3.2e-05
 576000      5.66e-02      3.38e-04      9.77e-03    3.2e-05
 578000      4.66e-02      1.67e-04      8.10e-03    3.2e-05
 580000      4.67e-02      4.13e-04      7.85e-03    3.2e-05
 582000      5.95e-02      1.83e-04      1.04e-02    3.2e-05
 584000      4.43e-02      2.35e-04      7.90e-03    3.0e-05
 586000      5.68e-02      4.67e-04      1.00e-02    3.0e-05
 588000      5.51e-02      8.70e-05      9.94e-03    3.0e-05
 590000      5.43e-02      4.23e-04      9.52e-03    3.0e-05
 592000      5.70e-02      7.72e-04      9.32e-03    3.0e-05
 594000      5.57e-02      6.67e-04      9.82e-03    2.8e-05
 596000      4.89e-02      2.20e-04      9.03e-03    2.8e-05
 598000      4.75e-02      6.74e-04      8.18e-03    2.8e-05
 600000      4.63e-02      5.22e-04      8.08e-03    2.8e-05
 602000      4.29e-02      1.30e-04      7.97e-03    2.8e-05
 604000      5.63e-02      4.59e-04      1.02e-02    2.8e-05
 606000      5.50e-02      6.92e-04      9.96e-03    2.6e-05
 608000      4.30e-02      2.03e-04      8.19e-03    2.6e-05
 610000      5.20e-02      2.26e-04      9.93e-03    2.6e-05
 612000      6.24e-02      1.29e-03      9.96e-03    2.6e-05
 614000      4.33e-02      8.89e-05      8.33e-03    2.6e-05
 616000      4.23e-02      3.41e-04      8.15e-03    2.4e-05
 618000      4.01e-02      1.21e-04      7.94e-03    2.4e-05
 620000      4.07e-02      2.85e-04      7.89e-03    2.4e-05
 622000      4.37e-02      2.47e-05      8.68e-03    2.4e-05
 624000      4.08e-02      1.31e-04      8.08e-03    2.4e-05
 626000      4.08e-02      8.54e-06      8.11e-03    2.4e-05
 628000      4.23e-02      3.68e-04      8.35e-03    2.3e-05
 630000      5.45e-02      7.76e-04      1.03e-02    2.3e-05
 632000      4.25e-02      2.99e-04      8.51e-03    2.3e-05
 634000      3.87e-02      1.43e-04      7.89e-03    2.3e-05
 636000      5.11e-02      2.98e-04      1.04e-02    2.3e-05
 638000      4.93e-02      3.37e-04      1.03e-02    2.1e-05
 640000      4.00e-02      1.88e-04      8.39e-03    2.1e-05
 642000      4.30e-02      3.51e-04      8.81e-03    2.1e-05
 644000      4.77e-02      3.96e-04      9.85e-03    2.1e-05
 646000      4.16e-02      5.23e-04      8.29e-03    2.1e-05
 648000      4.54e-02      8.09e-04      7.96e-03    2.1e-05
 650000      3.91e-02      2.21e-04      8.42e-03    2.0e-05
 652000      3.80e-02      2.40e-04      8.16e-03    2.0e-05
 654000      3.82e-02      1.97e-04      8.25e-03    2.0e-05
 656000      5.01e-02      5.09e-04      1.04e-02    2.0e-05
 658000      4.63e-02      7.05e-04      8.88e-03    2.0e-05
 660000      5.16e-02      8.65e-04      1.04e-02    1.9e-05
 662000      4.30e-02      1.60e-05      9.70e-03    1.9e-05
 664000      4.37e-02      1.75e-04      9.81e-03    1.9e-05
 666000      4.04e-02      4.84e-05      9.12e-03    1.9e-05
 668000      5.22e-02      4.90e-04      1.13e-02    1.9e-05
 670000      3.72e-02      2.42e-04      8.23e-03    1.9e-05
 672000      4.64e-02      1.01e-03      8.71e-03    1.7e-05
 674000      3.47e-02      2.00e-04      7.96e-03    1.7e-05
 676000      5.07e-02      4.90e-04      1.13e-02    1.7e-05
 678000      4.43e-02      7.57e-04      9.12e-03    1.7e-05
 680000      3.48e-02      2.03e-04      7.97e-03    1.7e-05
 682000      4.59e-02      5.91e-04      1.03e-02    1.6e-05
 684000      3.44e-02      1.20e-05      8.26e-03    1.6e-05
 686000      3.43e-02      2.24e-05      8.26e-03    1.6e-05
 688000      4.34e-02      7.03e-04      8.96e-03    1.6e-05
 690000      4.84e-02      8.58e-04      1.02e-02    1.6e-05
 692000      3.77e-02      4.73e-04      8.32e-03    1.6e-05
 694000      3.44e-02      2.70e-04      8.26e-03    1.5e-05
 696000      5.89e-02      4.06e-04      1.43e-02    1.5e-05
 698000      3.25e-02      7.85e-05      8.04e-03    1.5e-05
 700000      4.01e-02      2.62e-04      9.73e-03    1.5e-05
 702000      3.46e-02      2.93e-04      8.28e-03    1.5e-05
 704000      4.99e-02      6.68e-05      1.28e-02    1.4e-05
